age,job,marital,education,balance,housing,loan,contact,day,month,duration,campaign,previous,y
30,admin.,married,secondary,1787,yes,no,cellular,19,oct,79,1,0,no
33,services,married,secondary,4789,yes,yes,cellular,11,may,220,1,4,no
35,management,single,tertiary,1350,yes,no,cellular,16,apr,185,1,1,no
30,management,married,tertiary,1476,yes,yes,unknown,3,jun,199,4,0,no
59,blue-collar,married,secondary,0,yes,no,unknown,5,may,226,1,0,no
35,management,single,tertiary,747,no,no,cellular,23,feb,141,2,3,yes
36,technician,married,secondary,307,no,no,cellular,14,may,341,1,2,yes
39,admin.,married,secondary,147,yes,no,cellular,6,may,151,2,0,no
41,entrepreneur,married,tertiary,221,yes,no,unknown,14,may,57,2,0,no
43,services,married,primary,106,no,no,cellular,17,apr,313,1,0,yes
